round,client_id,accuracy,loss
0,0,0.0,1.1692665178972976
0,1,0.0,1.163687819526309
0,2,0.0,1.1719430060613722
1,0,1.0,0.0007480525576222435
1,1,1.0,0.0006988599585990111
1,2,1.0,0.0006987290412542366
2,0,1.0,8.066793121539595e-09
2,1,1.0,0.0
2,2,1.0,2.8383160795220605e-09
3,0,1.0,0.0
3,1,1.0,0.0
3,2,1.0,0.0
4,0,1.0,0.0
4,1,1.0,0.0
4,2,1.0,0.0
5,0,1.0,0.0
5,1,1.0,0.0
5,2,1.0,0.0
6,0,1.0,0.0
6,1,1.0,0.0
6,2,1.0,0.0
7,0,1.0,0.0
7,1,1.0,0.0
7,2,1.0,0.0
8,0,1.0,0.0
8,1,1.0,0.0
8,2,1.0,0.0
9,0,1.0,0.0
9,1,1.0,0.0
9,2,1.0,0.0
10,0,1.0,0.0
10,1,1.0,0.0
10,2,1.0,0.0
